scenario_id,set_name,trait,polarity,prompt_style,domain,subdomain,age_band,gender_identity,trait_level,piaget_stage,intent,source,model_name,is_active,n_assigned,n_completed,n_skipped,n_abandoned,created_at,updated_at
scenario_72bd33b0-62db-4480-8034-3e1c88afd596,pilot,Agreeableness,,,Academic Domain,Academic Standing,13-15,boy,low,formal_operational,Give me,admin_upload,,True,2,1,0,0,1775102816602,1775657521265
scenario_82fc7897-5ff7-422d-a2b0-45fa631acf38,pilot,Agreeableness,,,Relationship Domain,Family,16-18,boy,low,formal_operational,Give me,admin_upload,,True,4,2,2,0,1775102816602,1775757779978
scenario_9066bf8c-15f6-4c3e-951b-63e29008d892,pilot,Agreeableness,,,Casual Knowledge Domain,Privacy,13-15,nonbinary,low,formal_operational,Give me,admin_upload,,True,2,2,0,0,1775102816602,1775827563998
scenario_90d12d1a-bfc2-47f1-9394-8a5de009cb3f,pilot,Agreeableness,,,Casual Knowledge Domain,Behavioral Norms,9-12,girl,low,concrete_operational,Is it correct to / Can I,admin_upload,,True,2,2,0,0,1775102816602,1775659978981
scenario_9de44bba-bcf2-4f71-87c3-7ecbec2dea5f,pilot,Agreeableness,,,Academic Domain,HW,16-18,nonbinary,high,formal_operational,Journalistic,admin_upload,,True,3,1,1,0,1775102816602,1775699319129
scenario_a0eb1914-709b-4e8b-8e53-2e5d5f4ff35b,pilot,Agreeableness,,,Relationship Domain,Friendship,16-18,boy,high,formal_operational,How do,admin_upload,,True,1,1,0,0,1775102816602,1775660080001
scenario_b1461c77-2ae5-442b-8620-be9754a715e6,pilot,Agreeableness,,,Casual Knowledge Domain,Behavioral Norms,6-8,nonbinary,high,concrete_operational,Who / What / When / Where / Is There / Tell me,admin_upload,,True,1,0,1,0,1775102816602,1775688871836
scenario_e68cf40a-e8a0-4972-900a-8705b2dd416b,pilot,Agreeableness,,,Casual Knowledge Domain,STEM,6-8,boy,low,concrete_operational,Who / What / When / Where / Is There / Tell me,admin_upload,,True,1,0,0,0,1775102816602,1775682340862
scenario_fbbc6059-c59c-4886-ae95-ff47408e2f6b,pilot,Agreeableness,,,Casual Knowledge Domain,Behavioral Norms,9-12,nonbinary,high,concrete_operational,Is it correct to / Can I,admin_upload,,True,3,1,0,0,1775102816602,1775688852261
scenario_1f6f88d3-74f9-47c0-b1f2-aed9d8318552,pilot,Conscientiousness,,,Academic Domain,STEM,9-12,boy,high,concrete_operational,Is it correct to / Can I,admin_upload,,True,2,2,0,0,1775102816602,1775683211112
scenario_2e44acb1-9ee8-41f3-9ed5-33746964e0b6,pilot,Conscientiousness,,,Academic Domain,HW,13-15,boy,low,formal_operational,How do,admin_upload,,True,3,3,0,0,1775102816602,1775660245569
scenario_3c561088-a14b-4e8a-abcf-f762672a3d6b,pilot,Conscientiousness,,,Casual Knowledge Domain,Privacy,16-18,nonbinary,low,formal_operational,How-to / Step-by-step,admin_upload,,True,2,2,0,0,1775102816602,1775828442219
scenario_743c0f99-369d-47a3-8194-5048f13623dc,pilot,Conscientiousness,,,Casual Knowledge Domain,Common Sense,9-12,girl,high,concrete_operational,How-to / Step-by-step,admin_upload,,True,2,2,0,0,1775102816602,1775657824231
scenario_74a4e5c5-df5a-42ae-8040-78db665acb13,pilot,Conscientiousness,,,Casual Knowledge Domain,Finance,13-15,nonbinary,low,formal_operational,How-to / Step-by-step,admin_upload,,True,4,3,0,0,1775102816602,1775828000587
scenario_76f4df7b-32c5-4137-bc2d-20bab63a2969,pilot,Conscientiousness,,,Casual Knowledge Domain,Health,6-8,girl,low,concrete_operational,Is it correct to / Can I,admin_upload,,True,2,2,0,0,1775102816602,1775157248858
