scenario_id,set_name,trait,polarity,prompt_style,domain,subdomain,age_band,gender_identity,trait_level,piaget_stage,intent,source,model_name,is_active,n_assigned,n_completed,n_skipped,n_abandoned,created_at,updated_at
scenario_02030d77-77c9-4fa1-8214-a7a5497e3c9f,pilot,Agreeableness,,,Casual Knowledge Domain,Privacy,13-15,nonbinary,low,formal_operational,Give me,admin_upload,,True,3,1,1,0,1773535974611,1773583926240
scenario_0283fac1-aea5-434d-98e9-4b218fdfed51,pilot,Agreeableness,,,Casual Knowledge Domain,Behavioral Norms,9-12,nonbinary,high,concrete_operational,Is it correct to / Can I,admin_upload,,True,0,0,0,0,1773535974611,1773535974611
scenario_0992f865-10bd-4b6f-8bbb-8c562748287c,pilot,Agreeableness,,,Casual Knowledge Domain,Behavioral Norms,9-12,girl,low,concrete_operational,Is it correct to / Can I,admin_upload,,True,1,0,1,0,1773535974611,1773536069537
scenario_25e3ecb8-ff53-4404-9236-6e5d392ba258,pilot,Agreeableness,,,Relationship Domain,Family,16-18,boy,low,formal_operational,Give me,admin_upload,,True,1,1,0,0,1773535974611,1773586572199
scenario_341ce112-1984-463f-943a-55e5f1ff0adc,pilot,Agreeableness,,,Academic Domain,Academic Standing,13-15,boy,low,formal_operational,Give me,admin_upload,,True,1,0,1,0,1773535974611,1773581661936
scenario_98c7f957-3073-4399-8ae3-8f47f35f4fdc,pilot,Agreeableness,,,Casual Knowledge Domain,Behavioral Norms,6-8,nonbinary,high,concrete_operational,Who / What / When / Where / Is There / Tell me,admin_upload,,True,2,0,2,0,1773535974611,1773580295832
scenario_cf75fca1-021c-4e61-99a5-5a174a40ed68,pilot,Agreeableness,,,Relationship Domain,Friendship,16-18,boy,high,formal_operational,How do,admin_upload,,True,2,0,2,0,1773535974611,1773581057327
scenario_d3e044b7-e328-41dd-95bc-41e924f80474,pilot,Agreeableness,,,Academic Domain,HW,16-18,nonbinary,high,formal_operational,Journalistic,admin_upload,,True,1,0,0,0,1773535974611,1773580370799
scenario_d45743e8-ae57-4728-8b0a-860a2c4df07e,pilot,Agreeableness,,,Casual Knowledge Domain,STEM,6-8,boy,low,concrete_operational,Who / What / When / Where / Is There / Tell me,admin_upload,,True,2,0,1,0,1773535974611,1773581304469
scenario_1099c039-37ae-4c36-bf9b-21ec24180a7c,pilot,Conscientiousness,,,Academic Domain,HW,16-18,boy,low,formal_operational,How-to / Step-by-step,admin_upload,,True,1,0,0,0,1773535974611,1773536120760
